0x0010b928,task_AdditionAgent
0x006b1b10,DisableDispatch_low
0x006b1b3c,EnableDispatch_low
0x006b1b90,get_self_task_id
0x006b21d4,get_task_properties
0x006b8324,WriteSDCard
0x006b89b4,task_SD1stInit
0x006d9bd0,_divmod_signed_int
0x006db22c,_divmod_unsigned_int
0x006dc020,_log
0x006dc560,_log10
0x006dc6d8,_pow
0x006dd688,_safe_sqrt
0x006dd84c,_dadd
0x006ddb24,_ddiv
0x006ddff0,_dfix
0x006de0a0,_dfixu
0x006de128,_dflt
0x006de1d4,_dfltu
0x006de1e0,_dcmp
0x006de268,_dmul
0x006de438,_dcmp_reverse
0x006de4d8,_drsb
0x006de4f0,_sqrt
0x006de664,_dsub
0x006de9e8,_f2d
0x006deb6c,_fdiv
0x006ded50,_ffix
0x006dedc4,_ffixu
0x006dee24,_fflt
0x006dee58,_ffltu
0x006deed8,_fmul
0x006df3d8,_scalbn
0xff0201bc,icache_flush_and_enable
0xff0201e4,icache_disable_and_flush
0xff02020c,dcache_flush_and_enable
0xff020234,dcache_clean_flush_and_disable
0xff020284,dcache_flush_range
0xff0202a0,dcache_clean_range
0xff020300,dcache_clean_flush_range
0xff020384,icache_flush_range
0xff020c2c,memShow_FW
0xff022b20,task_ClockSave
0xff0234d8,get_self_task_errno_pointer
0xff023548,GetMemInfo
0xff024004,Read
0xff024004,Read_FW
0xff0248d0,err_init_task
0xff024a04,_uartr_req
0xff024aa4,task_UartLog
0xff024c48,StartRedirectUART_FW
0xff024d5c,StopRedirectUART_FW
0xff024ec0,RegisterInterruptHandler
0xff024f5c,UnregisterInterruptHandler
0xff0250a4,GetSRAndDisableInterrupt
0xff0250a8,SetSR
0xff0250c8,EnableInterrupt
0xff025140,CreateTask
0xff025140,CreateTask_FW
0xff0254b0,ExitTask
0xff0254b0,ExitTask_FW
0xff025500,DebugAssert
0xff02558c,sprintf_FW
0xff0255a8,strcpy
0xff0255a8,strcpy_FW
0xff0255c0,memcmp
0xff0255c0,memcmp_FW
